exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,csb-b64,csb,500,0,1,9,1.313289,0.953332,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,1,9,1.181548,1.171781,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,1,9,1.144776,1.240668,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,2,9,1.018875,0.039328,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,2,9,0.671982,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,2,9,0.427266,0.002232,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,2,9,0.475588,0.002594,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,2,9,5.102362,0.054224,111510004,1,mac_econ_fwd500,
cg_par,csb-b64,csb,500,0,2,9,0.666562,0.960508,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,2,9,0.602443,1.181281,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,2,9,0.582599,1.251538,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,4,9,0.792067,0.039607,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,4,9,0.38818,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,4,9,0.222264,0.002101,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,4,9,0.247568,0.002714,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,4,9,2.686097,0.055053,111510004,1,mac_econ_fwd500,
cg_par,csb-b64,csb,500,0,4,9,0.344639,0.958552,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,4,9,0.312912,1.181573,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,4,9,0.302386,1.251724,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,8,9,0.718291,0.045875,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,8,9,0.264009,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,8,9,0.127507,0.002092,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,8,9,0.143226,0.002594,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,8,9,1.520026,0.054408,111510004,1,mac_econ_fwd500,
cg_par,csb-b64,csb,500,0,8,9,0.200549,0.957498,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,8,9,0.177403,1.176243,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,8,9,0.174768,1.243416,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,16,9,0.685105,0.039881,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,16,9,0.196542,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,16,9,0.075606,0.002104,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,16,9,0.082486,0.002606,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,16,9,1.162988,0.05491,111510004,1,mac_econ_fwd500,
cg_par,csb-b64,csb,500,0,16,9,0.114108,0.954138,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,16,9,0.102323,1.17457,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,16,9,0.100695,1.241223,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,24,9,0.681195,0.039813,16106672,1,mac_econ_fwd500,
cg_par,coo,coo,500,0,24,9,0.168992,0,20374224,1,mac_econ_fwd500,
cg_par,csr,csr,500,0,24,9,0.058044,0.002079,16106672,1,mac_econ_fwd500,
cg_par,dsr,dsr,500,0,24,9,0.071046,0.002573,16932672,1,mac_econ_fwd500,
cg_par,ell,ell,500,0,24,9,0.940312,0.053765,111510004,1,mac_econ_fwd500,
cg_par,csb-b64,csb,500,0,24,9,0.087262,0.955937,13497778,64,mac_econ_fwd500,
cg_par,csb-b128,csb,500,0,24,9,0.077511,1.178422,13089634,128,mac_econ_fwd500,
cg_par,csb-b256,csb,500,0,24,9,0.080693,1.246169,12869722,256,mac_econ_fwd500,
cg_par,eigen,eigen,500,1.16E+15,28,9,0.6816,0.039488,16106672,1,mac_econ_fwd500,1
cg_par,coo,coo,500,0,28,9,0.168041,0,20374224,1,mac_econ_fwd500,4.056152963
cg_par,csr,csr,500,0,28,9,0.054507,0.002082,16106672,1,mac_econ_fwd500,12.5048159
cg_par,dsr,dsr,500,0,28,9,0.072562,0.002615,16932672,1,mac_econ_fwd500,9.39334638
cg_par,ell,ell,500,0,28,9,0.941474,0.054248,111510004,1,mac_econ_fwd500,0.723971135
cg_par,csb-b64,csb,500,0,28,9,0.082647,0.956709,13497778,64,mac_econ_fwd500,8.247123308
cg_par,csb-b128,csb,500,0,28,9,0.078138,1.17473,13089634,128,mac_econ_fwd500,8.723028488
cg_par,csb-b256,csb,500,0,28,9,0.075055,1.241145,12869722,256,mac_econ_fwd500,9.08134035
cg_par,eigen,eigen,500,-9.10E+15,1,9,2.720675,0.07053,27306004,1,mc2depi,
cg_par,coo,coo,500,0,1,9,2.335567,0,33603600,1,mc2depi,
cg_par,csr,csr,500,0,1,9,1.842493,0.003993,27306004,1,mc2depi,
cg_par,dsr,dsr,500,0,1,9,2.17991,0.006252,29409304,1,mc2depi,
cg_par,ell,ell,500,0,1,9,2.692651,0.010877,31549504,1,mc2depi,
cg_par,csb-b64,csb,500,0,1,9,2.148577,1.337435,21492670,64,mc2depi,
cg_par,csb-b128,csb,500,0,1,9,2.112239,0.94394,21244702,128,mc2depi,
cg_par,csb-b256,csb,500,0,1,9,2.112208,1.073233,21117766,256,mc2depi,
cg_par,eigen,eigen,500,-9.10E+15,2,9,2.214331,0.070727,27306004,1,mc2depi,
cg_par,coo,coo,500,0,2,9,1.131112,0,33603600,1,mc2depi,
cg_par,csr,csr,500,0,2,9,0.853419,0.003933,27306004,1,mc2depi,
cg_par,dsr,dsr,500,0,2,9,0.967842,0.006081,29409304,1,mc2depi,
cg_par,ell,ell,500,0,2,9,1.994871,0.011237,31549504,1,mc2depi,
cg_par,csb-b64,csb,500,0,2,9,1.013011,1.347728,21492670,64,mc2depi,
cg_par,csb-b128,csb,500,0,2,9,1.006691,0.952064,21244702,128,mc2depi,
cg_par,csb-b256,csb,500,0,2,9,1.003993,1.080042,21117766,256,mc2depi,
cg_par,eigen,eigen,500,-9.10E+15,4,9,1.968376,0.070024,27306004,1,mc2depi,
cg_par,coo,coo,500,0,4,9,0.686562,0,33603600,1,mc2depi,
cg_par,csr,csr,500,0,4,9,0.438058,0.004031,27306004,1,mc2depi,
cg_par,dsr,dsr,500,0,4,9,0.497974,0.006246,29409304,1,mc2depi,
cg_par,ell,ell,500,0,4,9,1.260115,0.010949,31549504,1,mc2depi,
cg_par,csb-b64,csb,500,0,4,9,0.533634,1.345912,21492670,64,mc2depi,
cg_par,csb-b128,csb,500,0,4,9,0.525288,0.950388,21244702,128,mc2depi,
cg_par,csb-b256,csb,500,0,4,9,0.537735,1.081267,21117766,256,mc2depi,
cg_par,eigen,eigen,500,-9.10E+15,8,9,1.88098,0.070854,27306004,1,mc2depi,
cg_par,coo,coo,500,0,8,9,0.48519,0,33603600,1,mc2depi,
